OWNERCITYCODE,INFOERTYPE,INFOUNIT,OTHERINFOERTYPE,OTHERINFOUNIT,CLIENTID,SEXID,BDATE,IDTYPE,SCHOOL,EDUCATION,MAIMED,OTHERMAIMED,OTHERMAIMED2,DID,DSEXID,DBDATE,DEDUCATION,CHILDRELATION,OTHERCHILDRELATION,DMAIMED,DOTHERMAIMED,DOTHERMAIMED2,CPARTICLE1,CPARTICLE2,CPARTICLE3,CPARTICLE4,OCCURTIME,RECEIVETIMEYEAR,RECEIVETIMEMONTH,TOWNCODE
1002100000,F,F,,,,M,096,A,C,Z,X,,,,M,064,,A,,X,,,,B,,,,2016,01,6703100000
6400000000,H,I,,,,F,098,A,A,Z,X,,,,F,066,,B,,,,,,N,,,,2016,01,
1001900000,H,I,,,,M,089,A,C,D,X,,,,M,000,Z,A,,,,,,B,,,,2016,01,
1001000000,H,C,,,,M,088,A,C,E,X,,,,M,051,F,A,,X,,,,,,,,2016,01,1001010000
6400000000,H,I,,,,F,097,J,C,Z,,,,,M,064,Z,A,,,,,,B,,,,2016,01,
1000700000,H,I,,,,M,091,J,C,D,,,,,M,000,Z,A,,,,,,,,,,2016,01,
6500000000,H,I,,,,Z,000,J,,Z,,,,,F,000,Z,B,,,,,,,,,,2016,01,
1001900000,H,I,,,,M,093,J,C,C,,,,,F,055,,B,,,,,,B,,,,2016,01,
1002100000,H,I,,,,M,089,A,C,D,X,,,,F,066,Z,B,,Y,,,,B,,,,2016,01,
1001900000,H,I,,,,M,097,J,C,C,,,,,M,000,Z,A,,,,,,B,,,,2016,01,6600700000
6400000000,H,I,,,,F,092,A,C,C,,,,,M,060,Z,I,,E,,,,B,,,,2016,01,
1000700000,F,F,,,,F,089,A,C,D,X,,,,M,000,,I,,X,,,,B,A,,,2016,01,1000709000
1001900000,F,F,,,,M,100,A,B,Z,,,,,M,057,,A,,,,,,,,,,2016,01,6600200000
1001400000,F,F,,,,M,096,J,C,C,,,,,,000,,G,,,,,,B,,,,2016,01,1001401000
1000800000,H,I,,,,M,102,J,,Z,,,,,F,000,Z,B,,,,,,B,A,,,2016,01,
6400000000,H,I,,,,M,100,A,A,I,,,,,M,063,Z,A,,,,,,B,,,,2016,01,6400400000
1001800000,H,F,,,,F,090,A,D,D,E,,,,F,000,,B,,X,,,,BF,,,,2016,01,1001803000
1001300000,H,C,,,,F,093,A,C,C,X,,,,M,065,,A,,,,,,B,,,,2016,01,1001305000
1000300000,F,F,,,,M,097,A,C,C,X,,,,F,073,G,B,,,,,,B,,,,2016,01,1000310000
1000300000,H,E,,,,F,088,A,C,E,,,,,M,000,,G,,,,,,B,,,,2016,01,1000303000
1001900000,H,C,,,,M,104,J,,Z,,,,,F,071,D,B,,M,,,,,,,,2016,01,6601300000
1000700000,F,F,,,,F,090,J,C,Z,,,,,M,091,D,I,,,,,,Z,,,,2016,01,1000716000
6500000000,H,I,,,,M,096,J,C,C,,,,,M,000,Z,A,,,,,,B,,,,2016,01,
6500000000,F,F,,,,M,097,A,C,C,X,,,,F,057,,B,,,,,,B,,,,2016,01,6500100000
1000300000,F,F,,,,M,092,A,C,C,X,,,,M,063,,A,,,,,,B,,,,2016,01,1000311000
1001900000,H,E,,,,F,089,J,C,D,X,,,,M,064,,A,,E,,,,BZ,B,,,2016,01,6600800000
